"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\README.md", "Markdown", 10, 0, 0, 9, 19
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\bin\bank\Account.class", "Java", 0, 27, 0, 0, 27
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\bin\bank\Bank.class", "Java", 0, 51, 0, 0, 51
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\bin\bank\Clerk.class", "Java", 0, 29, 0, 0, 29
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\bin\bank\Transaction.class", "Java", 0, 21, 0, 0, 21
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\bin\bank\Transactions.class", "Java", 0, 22, 0, 1, 23
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\src\bank\Account.java", "Java", 0, 32, 6, 7, 45
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\src\bank\Bank.java", "Java", 0, 44, 8, 10, 62
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\src\bank\Clerk.java", "Java", 0, 38, 2, 6, 46
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\src\bank\Transaction.java", "Java", 0, 24, 4, 9, 37
"c:\Users\noaml\OneDrive\vscode_workspace\advanced_java\Maman15\Q1\bank\src\bank\Transactions.java", "Java", 0, 29, 4, 8, 41
"Total", "-", 10, 317, 24, 50, 401
